text,sentiment
سهامدارهای عزیز همه برید صف فروش ، که حقوقی از خواب بیدار شه یه حرکت کنه ، صف زیر 100 میلیون مسخره بازیه برای زامیاد ، همه برید صف فروش,negative
چقدرمنفی,negative
دوباره صففروش شد,negative
دیگه داره میره رو مخ,negative
یکی از حرفه ای ترین تحلیلگرا رو دیدم. هفته پیش گفته بود که توی چند روز آینده شاخص 2 میلیون رو میشکنه. مثل اینکه اونم دیگه تحلیلش اشتباه در اومد. این بازار تنها ناجی اش دلاره. تا دلار شروع به حرکت نکنه بازار همینه,negative
من از کف رفتم سقف از سقف اومدم کف … قیمت منفی 2 بود میزدم صفر. قیمت منفی 4 بود میزدم منفی 2. نمیخره ک نمیخره. از ساعت 9:9 دقیقه تا ساعت 10 ک الان باشه ن میگه خریده ن میگه نخریده ... پولم هم بلاکه. کارگزاری آشغالی هست م ف ی د. هنگه هنگه,negative
دیگه رو مخ رفته زود باش دیگه,negative
نمیخره نمیخره ... مفید ل ع ن ت ی پولم رو بلاک کرده. حسرت میخورم نمیتونم منفی 5 خزامیا بخرم,negative
کاش میشد یه مکاتبه ای داشت با حقوقی های این سهم. بهشون بگیم انصافا چیکار میکنید انصافا. خوابید؟ 😂. دقیقا شنبه این هقته داشت بر میگشت سهم که حقوقی نزاشت. الان وقتشه که سهم رو بر گردونه که معلوم نیست کجان,negative
اگه امروز مثبت نخوره من فردا خالی میکنم دیگه. 500 هزار تا داشتم 200 هزار تا دیگم هم پری روز خریدم. دیگه اگر بر نگرده وقت تلف کنی هست. اون 200 هزارتا الان 40 میلیون تو ضرره,negative
خزامیا کف شکست دیروز. فقط خدا میدونه دیگه این تا کجا سقوط میکنه,negative
دوستان کار حقوقی نیست. من سهم خزامیا دارم امروز داشتم کف اضافه میکردم نفر 4 ام بودم. کف قیمت ک داشت بهم میرسید حقوقی کشید بالا ب ی ش ر ف. نتونستم بخرم لغو زدم درخواست رو بیشتر کردم یهو پولم رو بلاک کرد ن میدونم خریده نخریده. چی شده ن الان میتونم بخرم ... فقط پولم بلاک شده ... خیلی ها اینطوری شدن ... لعنت ب هسته آ ی ر ا ن ا ی ر ی,negative
سهامدارش گاوه 5مثبت شه میفروشم خاک تو سرشون ینی افشا رو شما منفی باز کردین ببین شما کی هستین😑,negative
رفتیم منفی 5 باز,negative
الان یسری ها میگن کد ب کده. نه اقا. سهامدارش گاوه. برسه به مقاومت بعدی خودمم میفروشم چون گاون اینا,negative
دولت زحمت کشید ب قدری ب هسته ر ی د ک نشه خرید. کف قیمت زدم آخرین لحظه صف رو ریخت. قیمت بالا زدم معلوم نیست خریده یا ن ... سهم داشت راحت مثبت 5 میشد چیکارش کردن,negative
یعنی خاک عالم بر سر یه سریرسهم تا 29 تومان امد بالا باز یه سزس رفتن تو 29.5 دارن میفروشن. یعنی واقعا خاک تو سرتون,negative
تو کف نفروشید. صف فروش نکنید ، امروز با 5 منفی بسته نمیشه. نزارین نوسان گیرا وارد سهم بشن و سوء استفاده کنن,negative
خزامیا لعنتی ها صف رو نشکنید ... کف قیمت 15 تومان خرید زدم ... چند لحظه حذف سفارش نزنید ... الان نتونن خزامیا بخرم تا یک ماه دیگ نمیشه خرید,negative
اون حجم توو صف خریدو میبینین فیکه بالای 12 میلیونه. ولی نمایش نمیدن تا توی سهامدار بفروشی توو کف.,negative
همچی حجمی هم نخورد. فردام منفیه تا سرو کله حقوقی ها پیدا نشه. احتمالا این سهام رو با بانک دی اشتپ گرفتیم این نیسان قوزوه,negative
از نیسان آبی همیشه متنفر بودم امروز که سهم خزامیا خریدم و صف فروش شد متوجه شدم علتش چی بوده. توی یک روز 8 درصد ضرر سوزش زیادی داره چشمهای آدم پر اشک میشه. تجربه خیلی بدی بود توصیه نمیکنم,negative
یا باید فردا با مثبت 5 باز بشه که نوسانگیر دستش خالی بمونه. یا اگه با قیمت پایین باز شد کسی نفروشه تا نوسانگیر سهم گیرش نیاد تا بخواد رو مثبت 4 خالی کنه. یا حقوقی حمایت کنه ( نه نوسانگیری ). در غیر این صورت با توجه به معاملات امروز که نشون میدن نوسانگیر رو سهم فعال شده سهم پایین تر هم خواهد رفت,negative
تا 2400 میاد پایین متاسفانه,negative
هنوز فشار فروش هست,negative
با توجه به رش شارپ چند ماه گذشته اگه فردا هم منفی خورد با توجه به حجم امروز حتما حد ضرر رو رعایت کنید,negative
اقا کی مثبت میشه؟,negative
شنبه باید بره برای رشد اگه نرفت بفروشین,negative
دید این قضیه که سهم تا چن روز اصلاح داره همش الکی فقط خودمونا گول میزنیم البته سمپاشا کارشون عالیه وگرنه خودتون دید تا 90 میلیون حجم از بین رفت سهم سریع بالا امد تو مثبت 5 خریدار داشت ولی چه میشه کرد باز یه سریها راحت سهمشون با قیمت پایین میفروشن,negative
روزهای خوب بورس داره تموم میشه.,negative
دوستان خداوکیلی یکی که درست سر در میاره ، جواب بده ، تا کی قرار منفی بخوریم؟,negative
من احمق تو مثبت 5 ، 10 میل اضاف کردم ؛ جوگیر شده بودم,negative
یکشنبه برمی‌گرده,positive
الان در اصلاح موج 4 ، نوسانی میشه از این به بعد تا ببینیم کی موج 5 شروع میشه,positive
عشقم از600باهتم چرا این کار می‌کنی از شنبه شروع کن روت حساب کردم برای ویلا روخپارس200 برای خونه رو دی400 مزدا به امید خدا,positive
اکر میخواید بخرید شنبه اول صبح بخرید چون هر چه قیمتش میره بالاتر.,positive
هر سه اندیکاتور MACD ، RSI ، CCI واگرایی صعودی نشون می دن. دیگه موقع بالارفتنش هست,positive
سهم به احتمال فراوان شنبه مثبت ولی راه میده واسه خرید به نظرم یکی دو روز درجا بزنه بدش کلا کلا بیرون کرد خودشو پرتاب کنه تا 5000 تومان,positive
حتمن برین ریز معاملات دیروزو ببینین از شماره 1 تا 48 :),positive
شنبه فرصت خرید زیادی نمیده بخرید تا رستگار شوید. تا مهرماه 7/500 رو میزنه,positive
واگرایی بین قیمت و اسیلاتور ها. هدف اول 4800 تومان. هدف دوم 6200 تومان,positive
خزامیا از یکشنبه بر میگردد تا فرصت باقی است خرید کنید ، پرسود باشید .,positive
امروز الکی به جای پنج درصد سود منفی خوردیم ... ..فقط به خاطر این که یه سری فقط میخواستن خارج شن از سهم حتی اگه صف فروش ریخته بود. دیگه از این به بد خزامیا آماده واسه رشد کردن دوباره بد چن بار سود دادن همینا میان واسه خریدش,positive
رشد 50 درصدی هزینه تولید قطعات خودرو و احتمال اعمال نرخ طی 2 ماه آینده. به گزارش پایگاه خبری بورس پرس ، مازیار بیگلو درباره بحث‌های مطرح شده مبنی بر ایجاد قطب سوم خودروسازی و مذاکره با برخی شرکت‌های خارجی به فارس گفت: بعید می‌دانم خودروساز خارجی باتوجه به شرایط فعلی حاضر به سرمایه‌گذاری در ایران باشد. در مورد چینی‌ها نیز تجربه نشان داده هر وقت در ایران حضور داشته‌اند اقدام خاصی برای داخلی‌سازی قطعات انجام نداده‌اند. وی درباره نامه‌نگاری شرکت ساپکو با قطعه‌سازان برای به‌ روزرسانی قیمت قطعات در قرارداد با ایران‌ خودرو نیز توضیح داد: جلسات در این خصوص در حال برگزاری است و قطعه‌سازان مدارک را ارائه کرده‌اند. با توجه به بررسی‌های در حال انجام امید می رود طی 2 ماه آینده در مورد به‌روز رسانی قیمت قطعات 160 شرکت به جمع‌بندی برسیم. این فعال صنعت قطعه سازی ادامه داد: البته این به‌روز رسانی قطعات بر اساس نرخ تولید تا پایان تیرماه است و پس از آن بر اساس نوسانات قیمت‌ نهاده‌های تولید اگر نیاز باشد مجدداً بازنگری صورت خواهد گرفت. قیمت قطعات برخی شرکت‌های قطعه‌ساز حتی برای سه ماهه آخر سال 98 نیز به‌روز رسانی نشده است. به گفته بیگلو ، قیمت مواد اولیه و ارز از ابتدای سال تا پایان تیرماه برای قطعه‌سازان 40 تا 50 درصد افزایش داشته که افزایش قیمت 30 تا 40 درصد باید بر روی قطعات اعمال شود. در عین حال این افزایش قیمت بر روی خودرو 10 درصد کمتر از این ارقام خواهد بود.,positive
دیگه کلمه افشا با این کار فروشندهها خوشایند نیست. انشاله این بار برا من و همه خوب باشه,positive
برنده مزایده خرید 100 درصد سهام شرکت ایران کاوه سایپا شده 100 درصدشو خریده,positive
لطفا از برنده شدن مزایده اش بگید عالیه این سهم چی میخواید دیگه از یک سهم,positive
سلام بچه ها خزامیا افشای الف زده چرا هیچکس نمیگه؟ تو کانال حسین زمانی دقیق متنشو گذاشته که برنده مزاینده شده شرکت زامیاد تو رو خدا شنبه از این سهم ناب حمایت کنید کشتنمون نوسانگیرها از بس تو کف خریدن تا رسید بالا دوباره فروختن,positive
حتی اگه کل موجودیم منفی بخوره من پای انتخابم هستم چون ایمان دارم خزامیا ضرر هام و که جبران میکنه هیچ ، جیبمم پر پول میکنه,positive
از خزامیا خیلی به ما رسیده حالا نوبت وفاداری ما به خزامیا هست,positive
خزامیا i lo7e u,positive
سلام خدمت دوستان. اولین سهمی که من پارسال وارد پرتفوی کردم خزامیا بود ، و واقعا سهم خوش یمنی بود واسم ، من یک ساله پای این سهم وایستادم و روزی نبوده تموم شه و خزامیا داخل پرتفوی من نباشه ، به قول بزرگان سهم پدر مادر داریه ، این روزای منفی هم میگذره و حتی اگه کل موجودیم بره تو منفی من پای انتخابم وای میستم چون ایمان دارم این سهم واسم جبران میکنه هرچند تو این یک سال از خزامیا خیلی به ما رسیده. در کل سهامدار باشیم ، خزامیا عاشقتم,positive
سلام. اونایی که میفروشن ، نمیدونن که خبرهای خوب توروزای تعطیل میاد که دستشون کوتاه بشه ازسهم ، امروز آخرین روز منفی خزامیادبود 9 تا کندل منفی ، اینو هییت مدیره از منو شما بهتر میدونه که خبرهارو کی بذاره رو کدال ، هییت مدیره موفق یعنی این ، نوسانگیر بای بای ، سهامدار پولدار ، بمب خزامیاد تازه داره خودنمایی مبکنه ، انفجار شروع شد,positive
شبتون عالی باشه رفقای عزیزم. من با نظر دوستمون eiman4778 تا حدودی موافقم ؛ جو حاکم توی بازار امروز نگذاشت و یا بهتر بگم نخواستن که خزامیا مثبت بخوره. 👈 بهتره برای روز شنبه این اشتباه رو تکرار نکنن دوستان سهامدار و فروشنده نباشن. البته هر کسی صاحبه مالشه ولی بعضی اوقات بهتره به فکره منافع جمعی هم بود .و نفع شخصی رو گذاشت کنار. برای همتون ارزوی سلامتی و دلخوشی دارم .,positive
من خودم امروز خزامیا خریدم و خیلی از حجم پرتفوی من الان خزامیاست ولی الان که اندیکاتورهای bb و rsi و cci و macd و MA 30 روزه رو نگاه میکردم به احتمال زیاد از یکشنبه بر میگردد و احتمال فراوان شنبه منفی باشد,positive
یادش بخیر روزای اول اصلاح خزامیا میگفتید از خپارس یاد بگیرید حالا اونا شاید بگن از خزامیا یاد بگیرید باز خدا رو شکر ما یکم روز بازگشایی مثبت بودیم,positive
دو تا افشای اطلاعات بزرگ در راه است. .,positive
اصلاح این سهم 3شنبه تموم شد. امروز باید مثبت میشد. متأسفانه حجم سنگین فروش سهم خزامیا را زمین گیر کرد. مطابق تمام تحلیل های تکنیکال امروز باید و باید مثبت بسته میشد. حجم فروش و کاهش تقاضا خزامیا را فلج کرد. سهامدارن عزیز این واقعا یک هشداره. اگه حمایت نکنید و همینطوری ادامه پیدا کنه ریزش سنگینی خواهیم داشت و به این زودی برنمیگرده ... اگر نفروشید و نروید داخل صف فروش دوباره اوج میگیره. نشر بدید لطفا. خواهشاً,positive
اونایی که میخواستن بفروشند تا الان فروختن از این به بعد بفروشین ضرر کردین چون اصلاحش تموم شده و‌دوسه تا مثبت بزنه ضررمونم جبران میشه نگران نباشید,positive
سهامداری بی شک هدف بالای 6000,positive
تا فلت کیجونسن میاد با هدف 5500,positive
سلام من این سهامو ندارم. ولی قول میدم شنبه مثبت میشه. اگر مثبت شد برام دعا کنید ممنون. مطمعنم مثبت میشه,positive
شنبه خزامیا روز خوبی خواهد داشت,positive
من الان 18 درصدتو ضررم یعنی 4 روز پشت سرهم مثبت بده میشم سربه سر😂ولی عیب نداره سهم بنیادی50 درصدم اصلاح بده بالاخره بنیادیه.ولی خداکنه دیگه افشای الف نده😂,positive
این سهم آماده واسه یه رشد شارپی دیگه منفیهاشم داده فقط نیشه گفت یکم سهام داری کردن باعث میشه سهم راحت دوباره 200 درصد دیگه سود بده,positive
دوستان همچی با صبر وسهام داری حل میشه امروز اکثر سهمهای بنیادی منفی بود شاخص تو دوملیونی مقاومت داره بقولی این نیز بگذرد,positive
خزامیا تا 2600 پایین میاد ، فکر کنم بهترین فرصت برای خرید امروز بود ، اون هفته انشالله سبزه ، موفق باشید.,positive
دوستان اگر فکر می کنید این سهم ارزنده ست (که هست) دیگه ناراحتی و نرو تو صف و. نداره. اصلاح عمیق کر زخمی شدیم اما خیال مون راحت شد 😂. وقتی که شما فکر می کنید سهم ارزنده ست ، به تارگتی که مد نظرتون هست خواهد رسید. انشاله نهایتا تا اواسط هفته آینده همون نیسان آبی 😍 خودمون میشه.,positive
فقط. سهامداری. سهامداری. سهامداری. بفروشین طلا چی بخرین,positive
خزامیا به احتمال زیاد یکشنبه مثبته شنبه هرکسی میخوادورودکنه یا اضافه کنه موقشه من دوساله بااین سهمم باهاش رفتم مجمع دوباره با 130 تومان اضافه کردم این سهم خیلی بی حاشیه ست تا آخرسال سهامداری کنید مطمئن باشیدسود سرشاری بهتون میده .موفق باشید,positive
با نیسان دارم می‌رم کلید لکسوزم رو بگیرم,positive
با توجه به تمام اصلاح هایی که خزامیا از آخر 98 تا الان انجام داده تو محدوده 0.38 قویترین حمایتو داره و به احتمال خیلی زیاد شنبه سهم بر میگرده .احتمال داره چند روز به حالت ساید باشه و بعد برا 6000 تومان استارت بزنه,positive
به امید خدا از شنبه با لیسان آبی گازشو میگیریم همرو له میکنیم,positive
هورا از پایانی منفی 5 شد منفی 4,positive
حقوقی تو کف داره درو میکنه,positive
دیگه همه پیاده شدن راه بیافت دای,positive
میبینین حقوقی تومانفی 5با کد حقوقیش علنا اضافه میکنه,positive
خزامیا پیش به سمت صعود,positive
خزامیا امروز اخرین فرصت ورود هست. بازیگر عمدا ضف خریدش نمیکنه که نوسانگیرا سرکلشون پیدا نشه. این همه حجمی که میخوره بی دلیل نیست. انرژی میگیره واسه رفتن به سقف کانال جدید در محدوده 12000 تومان,positive
بزنید کنار نیسان اومدد😂,positive
نگید نگفتی. خزامیا را امروز دریابید. سیگنال خرید VIP هست. از تنها خوری خوشم نمیاد. شما هم امروز بخرید شنبه دعام کنید,positive
یا علی یک دست بگیرین راه میفته. 🤣🤣🤣,positive
برو بخر,positive
داداش دیکه بسه همه رو پیاده کردی بسه حرکت کن,positive
سهام داره عمده یدونه ام نفروخته حواستون باشه,positive
خزامیا امروز آخرین مهلت خرید رو داد. قدرت خریداران رو به افزایشه پس شنبه مطمئنا مثبت و یکشنبه به بعد تا رسیدن به تارگت 6000 تومان در صف خرید قفل خواهد بود. فرصت را دریابید,positive
رو نقطه حمایتی هستش. شنبه نهایت یکشنبه حرکت مثبتش شروع میشه خزامیاد بنیادش قویه حرکت خزامیا شروع بشه الباقی خودرویها هم حرکتشون شروع میشه .,positive
صلاح خزامیا تموم شد ولی نمیدونم یه سری چی تو سرشونه یکم صبر کنید نفروشید مفت سهم میره بالا,positive
خدا بخاد داره برمیگرده,positive
صفا جمع شده نفروشین,positive
از صف فروش صدمیلیونی رسیدیم صف 12 میلیونی,positive
فروشنده کمتر ازهزار نفرشده نفروشن برمیگرده,positive
فروشنده کمتر از هزار نفر که نفروشن صعودی میشه,positive
این صفهای 2 نیلیون 3 میلیونی رو ریز ریز داره جمع میکونه گول نخورید,positive
مناسب ورود پله ای.در بازار سراسر صف فروش .حجم خوبی زد.هفته دیگه بازدهی مناسب.,positive
دوستان لطف کنید زودتر بفروشید میخوام بخرم,positive
باید تا 2400 بیاد پایین بعد میکنه میره بالا,positive
داره بر میگرده,positive
من خودم خزامیارو از 158 تومان دارم تا 10000 تومان هم باهش میمونم,positive
پنجره رو بسته امروز فردا رشدش شروع میشه,positive
تبریک به همه سهامداران. چه خبرای خوبی داره میرسه. خدایا شکرت. زامیاد برنده مزایده 100 درصدی شرکت ایران کاوه سایپا. هفته دیگه غوغاست,positive
سهم تا 26 اصلاح داره. یعنی شنبه برمیگرده. کاملا هم تکنیکالی داره عمل میکنه. حالا ی عده من موندم چرا دارن خودشونو میزنن به در و دیوار. بابا یکم صبرم خوبه. زود پز نیستا ، بورسه.,positive
بفروشید میخام بخرم,positive
دوستان هر کی سهم فروخت بخرید تضمین سود با من,positive
امروز احتمال 95 درصد صف خرید میشه. خبرهای خوبی از سهم اومده. موفق باشید .,positive
یا برمیگرده امروز. یا خبری در راهه برا شنبه,positive
منتظر شارپ خزامیا باشید😁,positive
کل بازار تا سه روز آینده منفی کامله. بعد از یکشنبه هفته آینده دوباره بررسی باید بشه فعلا وارد هیچ سهمی نشید دولت با این عرضه های وحشتناک بازی خطرناکی رو شروع کرده ، اگه ادامه دار باشه خروج وحشتناک نقدینگی و هجوم به بازار موازی دلار و نهایتا دلار در آینده نه چندان دور 38 هزار تومان رو مبینه. البته گفتم که اگه این روند عرضه ها ادامه دار باشه. یا علی,positive
اختمال داره فردا مثبت بشه چون امروز خوب حجم خورد,positive
فردا کنفی نمیشه که میانگین کم کنید. با این حجم‌ امروز شک نکن سهم مثبته تا هفته بعد,positive
فردا هر چی بفروشید ما اضافه میکنیم.,positive
اصلاح خزامیا تموم شده امروز با حجمی که خورد. از این به بد واسه یه رسد شارپی دیگه خودتونا آماده کنید,positive
حجم بالای معاملات نزدیک حمایت سهم یعنی شروع روند صعودی,positive
حجم 220063m بعد از اصلاح یعنی شارپ,positive
هر اصلاح فقط فرصت خرید,positive
خزامیا امروز فرصت خریدش بود اگه قضیه اصلاح شاخص نبود حتما صف خرید می شد,positive
فردا منفی 5 خریدم کنین و مثبت 5 بفروشین 8.65 ٪ سود کنین به بنده هم دعا کنین. مچکرم 😎,positive
صف فروش امروز جمع شد از فردا میره واسه صعود فردا زمان ورود به سهمه نه خروج چون اصلاحشو کرده حقوقی ام کلی خرید کرد,positive
خزامیا بهترین سهمه هم خودرویی هم بی رقیبه امروزم اونایی که صف فروش بسته بودن همه رو درو کردن نگران نباشین و یکم صبر داشته باشین 20 روز مثبت خورده دوروزم منفی چی میشه مگه,positive
ناحیه حمایتی سهم,positive
خزامیا تا 2600 میاد پایین انشالا همگی به زودی سود میکنیم.,positive
شاخص گروه خودرو اصلاح داره ، اینجا هر چی میگن باید عکسش عمل کرد ، نوسانگیرا کامنت های جذابی میذران,positive
امروز 100 درصد صف خرید میشد بخاطر جو روانی رو شاخص 2 میلیون عرضه ها بیشتر شد وقتی شاخص 2 میلیون رد کنه سهم خوب گیرتون نمیاد دیگه باید برید بجهرم بگیرید گه 3 ماه درجا میزنه,positive
⚜شرکت زامیاد به جمع تولید کنندگان محور اکسل جلو و عقب پیوست.⚜. به گزارش کانال همبستگی کارکنان زامیاد این شرکت برنامه تولید محور اکسل خودروهای داخلی خودش را داره. 👈در حال حاضر روزانه ده دستگاه بصورت آزمایشی تولید میشود و تا اواخر شهریور تولید انبوه شروع میشود. این حرکت باعث قطع نیاز از شرکتهای واسط هست و تاثیر مستقیم در سود آوری دارد,positive
به گذشت نمودار نگاه کنه همیشه بد یه رشد شارپ 20 تا 25 درصد اصلاح کرده بد دوباره شارپ رفته. به احتمال زیاد فردا صعود میکنه,positive
احتمال زیاد فردا اگه منفی بخوره بره توی سفارش گیری به خاطر تغییرات بیش از بیست درصد بدش شروع به رشد کردن کنه. پر سود باشیم,positive
- کندل برگشتی زد روی خط حمایت. - 7 برابر حجم متوسط ماهیانه معامله شد. اینا یعنی از فردا پرواز شروع میشه,positive
سلام. خزامیا اگر حمایت 0.786 فیبو رو نشکنه و قیمت بالای 3000 بره. تارگت بعدی 5900 و اگر رد کنه بعدی 9300 هست .,positive
سلام. امروز روی حمایت قوی 2800 قرار گرفت. خوب داشت بر میگشت که به اصلاح شاخص خورد. از اینجا به بعد دیگه اصلاح نداره و فقط به کلیت بازار. //شاخص// مربوط میشه. تا امروز فرصت فروش نمیداد از امروز هر کی بخواد میتونه بفروشه یا سهامداری کنه,positive
یه هفتس تو کمین این طلای نابم امروز خریدم تو کف فردا از فردا میره واسه صف خرید. با خیال راحت سهامداری کنید. امسال ساله پالایشی فلزات اساسی و خوردیاس البته بانکام خوبن,positive
اگه فردا منفی بود من تا اخرین ریال پولم از این سهم میخرم,positive
دارم فکر می کنم اونایی که فروختن چه حالی دارن واقعا فکر نکردید که پرا باید حقوقی ها 5 روز نه بفروشند نه بخرن از شنبه مثل سابق زامیاد شروع میکنه به سوددهی شارپی,positive
خداروشکر اون 5 هزار نفر خارج شدن احتمال زیاد فردا مثبت بزن,positive
